,original_shatr,arudi_style,tafilaat,pattern
0,أَرَقٌ عَلى أَرَقٍ وَمِثلِيَ يَأرَقُ,أرقن على أرقن ومثلي يأرقو,متفاعلنْ متفاعلنْ متفاعلنْ,111011011101101110110
1,وَجَوىً يَزيدُ وَعَبرَةٌ تَتَرَقرَقُ,وجون يزيد وعبرتن تترقرقو,متفاعلنْ متفاعلنْ متفاعلنْ,111011011101101110110
2,حَيِّ الوُجوهَ المِلاحا,حيي لوجوه لملاحا,مسْتفْع لنْ فاعلاتنْ,10101101011010
3,وَحَيِّ نُجلَ العُيون,وحيي نجل لعيوني,متفْع لنْ فاعلاتنْ,1101101011010
4,هَل في الهَوى مِن جُناحٍ,هل فلهوى من جناحن,مسْتفْع لنْ فاعلاتنْ,10101101011010
5,أَو في نَديمٍ وَراح,أو في نديمن وراحي,مسْتفْع لنْ فاعلاتنْ,10101101011010
6,بَكى بِشَجوي وَناحا,بكى بشجوي وناحا,متفْع لنْ فاعلاتنْ,1101101011010
7,عَلى فُروعِ الغُصونِ,على فروع لغصوني,متفْع لنْ فاعلاتنْ,1101101011010
8,وَقَد لَهَوتُ بِمِثلِ الرِئمِ آنِسَةٍ,وقد لهوت بمثل ررئم ءانستن,متفْعلنْ فعلنْ مسْتفْعلنْ فعلنْ,110110111010101101110
9,تُصبي الحَليمَ عَروبٍ غَيرِ مِكلاحِ,تصبلحليم عروبن غير مكلاحي,مسْتفْعلنْ فعلنْ مسْتفْعلنْ فاعلْ,1010110111010101101010
10,هَبَّت جَنوبٌ بِأَعلاهُ وَمالَ بِهِ,هببت جنوبن بأعلاهو ومال بهي,مسْتفْعلنْ فاعلنْ مسْتفْعلنْ فعلنْ,10101101011010101101110
11,أَعجازُ مُزنٍ يَسُحُّ الماءِ دَلّاحِ,أعجاز مزنن يسحح الماء دللاحي,مسْتفْعلنْ فاعلنْ مسْتفْعلنْ فاعلْ,10101101011010101101010
12,قَد تَقَطَرنَ بالعبيرِ ومَسكٍ,قد تقططرن بلعبير ومسكن,فاعلاتنْ متفْع لنْ فعلاتنْ,1011010110110111010
13,وَتَكَبَينَ بالكباءِ ذكيا,وتكببين بلكباء ذكييا,فعلاتنْ متفْع لنْ فعلاتنْ,111010110110111010
14,كُنتُ دَلّالَها وَكانَ سِناني,كنت دللالها وكان سناني,فاعلاتنْ متفْع لنْ فعلاتنْ,1011010110110111010
15,تاجِراً يَشتَري النُفوسَ الغَوالي,تاجرن يشترننفوس لغوالي,فاعلاتنْ متفْع لنْ فاعلاتنْ,10110101101101011010
16,ثُمَّ عودي مِن بَعدِ ذا وَاِشكُريني,ثمم عودي من بعد ذا وشكريني,فاعلاتنْ مسْتفْع لنْ فاعلاتنْ,101101010101101011010
17,وَاِذكُري ما رَأَيتِهِ مِن فِعالي,وذكري ما رأيتهي من فعالي,فاعلاتنْ متفْع لنْ فاعلاتنْ,10110101101101011010
18,أَيُّها الساعي عَلى آثارِنا,أييهسساعي على ءاثارنا,فاعلاتنْ فاعلاتنْ فاعلا,1011010101101010110
19,نَحنُ مَن لَستَ بِسَعّاءٍ مَعَه,نحن من لست بسععاءن معه,فاعلاتنْ فعلاتنْ فاعلا,101101011101010110
20,ثُمَّ فينا لِلقِرى نارٌ يُرى,ثمم فينا للقرى نارن يرى,فاعلاتنْ فاعلاتنْ فاعلا,1011010101101010110
21,عِندَها لِلضَيفِ رُحبٌ وَسِعَه,عندها لضضيف رحبن وسعه,فاعلاتنْ فاعلاتنْ فعلا,101101010110101110
22,بأبي مَن لِسَبته نَحلةٌ,بأبي من لسبتهو نحلتن,فعلاتنْ فعلاتنْ فاعلا,11101011101010110
23,آلمت أَكرَم شَيءٍ وَأَجلّ,ءالمت أكرم شيءن وأجلل,فاعلاتنْ فعلاتنْ فعلا,10110101110101110
24,حَسِبَت أَنَّ بفيه بَيتَها,حسبت أنن بفيهي بيتها,فعلاتنْ فعلاتنْ فاعلا,11101011101010110
25,إِذ رأَت ريقَتَهُ مثلَ العَسَل,إذ رأت ريقتهو مثل لعسل,فاعلاتنْ فعلاتنْ فاعلا,101101011101010110
26,لقد كنتُ ذَا بَأسٍ شَدِيدٍ وَهِمَّةٍ,لقد كنت ذا بأسن شديدن وهممتن,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
27,إِذَا شِئتُ لَمساً لِلثُّريَّا لَمَستُهَا,إذا شئت لمسن لثثريا لمستها,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
28,أَتَتنِي سِهَامٌ مِن لِحَاظٍ فَأرشَقَت,أتتني سهامن من لحاظن فأرشقت,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
29,بِقَلبِيِ وَلَو أَسطِيعُ رَدّاً رَدَدَتُّهَا,بقلبي ولو أسطيع رددن ردتتها,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
30,خَليلَيَّ مُرّا بي عَلى أُمِّ جُندَبِ,خليليي مررا بي على أمم جندبي,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
31,نُقَضِّ لُباناتِ الفُؤادِ المُعَذَّبِ,نقضض لبانات لفؤاد لمعذذبي,فعول مفاعيلنْ فعولنْ مفاعلنْ,1101110101011010110110
32,أَلَم تَرَياني كُلَّما جِئتُ طارِقاً,ألم ترياني كللما جئت طارقن,فعول مفاعيلنْ فعول مفاعلنْ,110111010101101110110
33,وَجَدتُ بِها طيباً وَإِن لَم تُطَيَّبِ,وجدت بها طيبن وإن لم تطييبي,فعول مفاعيلنْ فعولنْ مفاعلنْ,1101110101011010110110
34,بَكَى فَرثَت له أَجبالُ صُبحٍ,بكى فرثت لهو أجبال صبحن,مفاعلتنْ مفاعلْتنْ مفاعلْ,1101110110101011010
35,وأسعَدتِ الجِبالَ بها مُرُوتُ,وأسعدت لجبال بها مروتو,مفاعلتنْ مفاعلتنْ مفاعلْ,1101110110111011010
36,كأَنَّ فؤادَه كَفَّا غَرِيقٍ,كأنن فؤادهو كففا غريقن,مفاعلتنْ مفاعلْتنْ مفاعلْ,1101110110101011010
37,تَنازَعَهُ بِشَطِّ البَحرِ حُوتُ,تنازعهو بشطط لبحر حوتو,مفاعلتنْ مفاعلْتنْ مفاعلْ,1101110110101011010
38,أَمُساوِرٌ أَم قَرنُ شَمسٍ هَذا,أمسارون أم قرن شمسن هاذا,متفاعلنْ متْفاعلنْ متْفاعلْ,11101101010110101010
39,أَم لَيثُ غابٍ يَقدُمُ الأُستاذا,أم ليث غابن يقدم لأستاذا,متْفاعلنْ متْفاعلنْ متْفاعلْ,10101101010110101010
40,غادَرتَ أَوجُهَهُم بِحَيثُ لَقِيتَهُم,غادرت أوجههم بحيث لقيتهم,متفاعلنْ متفاعلنْ متفاعلنْ,111011011101101110110
41,أَقفائَهُم وَكُبودَهُم أَفَلاذا,أقفائهم وكبودهم أفلاذا,متْفاعلنْ متْفاعلنْ متْفاعلْ,10101101010110101010
42,في مَوقِفٍ وَقَفَ الحِمامُ عَلَيهِمِ,في موقفن وقف لحمام عليهمو,متْفاعلنْ متفاعلنْ متفاعلنْ,101011011101101110110
43,في ضَنكِهِ وَاِستَحوَذَ اِستِحواذا,في ضنكهي وستحوذ ستحواذا,متْفاعلنْ متْفاعلنْ متْفاعلْ,10101101010110101010
44,بَردُ نَسيمِ الحِجازِ في السَحَرِ,برد نسيم لحجاز فسسحري,مسْتعلنْ مفْعلات مسْتعلنْ,101110101101101110
45,إِذا أَتاني بِريحِهِ العَطِرِ,إذا أتاني بريحه لعطري,متفْعلنْ مفْعلات مسْتعلنْ,110110101101101110
46,وَمُلكُ كِسرى لا أَشتَهيهِ إِذا,وملك كسرى لا أشتهيه إذا,متفْعلنْ مفْعولات مسْتعلنْ,1101101010101101110
47,ما غابَ وَجهُ الحَبيبِ عَن نَظَري,ما غاب وجه لحبيب عن نظري,مسْتفْعلنْ مفْعلات مسْتعلنْ,1010110101101101110
48,أَرى لِلصّبا وداعا,أرى لصصبا وداعا,مفاعيل فاع لاتنْ,1101011011010
49,وما يَذْكُرُ اجْتماعا,وما يذكر جتماعا,مفاعيل فاع لاتنْ,1101011011010
50,فَجَدِّدْ وِصالَ صَبٍّ,فجددد وصال صبن,مفاعيل فاع لاتنْ,1101011011010
51,متَى تَعْصِهِ أَطاعا,متى تعصهي أطاعا,مفاعيل فاع لاتنْ,1101011011010
52,وإنْ تَدْنُ مِنْهُ شِبراً,وإن تدن منه شبرن,مفاعيل فاع لاتنْ,1101011011010
53,يُقَرّبْكَ مِنْهُ باعا,يقربك منه باعا,مفاعيل فاع لاتنْ,1101011011010
54,زان طرفها الحور,زان طرفهلحورو,مفْعلات مسْتعلنْ,101101101110
55,زاغ نحوها البصر,زاغ نحوهلبصرو,مفْعلات مسْتعلنْ,101101101110
56,يال أعين فتكت,يال أعينن فتكت,مفْعلات مسْتعلنْ,101101101110
57,راش سهمها النظر,راش سهمهننظرو,مفْعلات مسْتعلنْ,101101101110
58,واحمرار وجنتها,وحمرار وجنتها,مفْعلات مسْتعلنْ,101101101110
59,الرحيق معتصر,أررحيق معتصرو,مفْعلات مسْتعلنْ,101101101110
60,عَفا مِن آلِ لَيلى السَهـ,عفا من ءال ليلسسه,مفاعيلنْ مفاعيلنْ,11010101101010
61,ـبُ فَالأَملاحُ فَالغَمرُ,ب فلأملاح فلغمرو,مفاعيلنْ مفاعيلنْ,11010101101010
62,كَما قالَت فَتاةُ الحَيَّ لَمّا,كما قالت فتاة لحيي لمما,مفاعلْتنْ مفاعلْتنْ مفاعلْ,1101010110101011010
63,أَحَسَّ جَنانُها جَيشاً لُهاما,أحسس جنانها جيشن لهاما,مفاعلتنْ مفاعلْتنْ مفاعلْ,1101110110101011010
64,أَلَستَ تَرى القَطا مُتَواتِراتٍ,ألست ترلقطا متواتراتن,مفاعلتنْ مفاعلتنْ مفاعلْ,1101110110111011010
65,وَلَو تُرِكَ القَطا أَغفى وَناما,ولو ترك لقطا أغفى وناما,مفاعلتنْ مفاعلْتنْ مفاعلْ,1101110110101011010
66,إِنَّ بِالشّعبِ الذي دونَ سلعٍ,إنن بششعب للذي دون سلعن,فاعلاتنْ فاعلنْ فاعلاتنْ,1011010101101011010
67,لَقتيلاً دَمُه ما يُطَلُّ,لقتيلن دمهو ما يطللو,فعلاتنْ فعلنْ فاعلاتنْ,11101011101011010
68,خَلَّفَ العِبءَ علَيَّ وَوَلّى,خللف لعبء عليين ووللى,فاعلاتنْ فعلنْ فاعلاتنْ,101101011101011010
69,أَنَا بِالعِبءِ له مُستَقِلُّ,أنا بلعبء لهو مستقللو,فعلاتنْ فعلنْ فاعلاتنْ,11101011101011010
70,وَوَراءَ الثَّأرِ منّي ابنُ أُختٍ,ووراء ثثأر مننبن أختن,فعلاتنْ فاعلنْ فاعلاتنْ,111010101101011010
71,مَصِعٌ عُقدَتُهُ ما تُحَلُّ,مصعن عقدتهو ما تحللو,فعلاتنْ فعلنْ فاعلاتنْ,11101011101011010
72,تَطاوَلَ لَيلُكَ بِالأَثمَدِ,تطاول ليلك بلأثمدي,فعول فعول فعولنْ فعو,1101110111010110
73,وَنامَ الخَلِيُّ وَلَم تَرقُدِ,ونام لخليي ولم ترقدي,فعولنْ فعول فعولنْ فعو,11010110111010110
74,وَباتَ وَباتَت لَهُ لَيلَةٌ,وبات وباتت لهو ليلتن,فعول فعولنْ فعولنْ فعو,11011101011010110
75,كَلَيلَةِ ذي العائِرِ الأَرمَدِ,كليلة ذلعائر لأرمدي,فعول فعولنْ فعولنْ فعو,11011101011010110
76,مَن ذا أَفتاكِ بِسَفكِ دَمي,من ذا أفتاك بسفك دمي,فالنْ فالنْ فعلنْ فعلنْ,1010101011101110
77,يا غُرَّةَ حَيِّ بَني جُشَمِ,يا غررة حيي بني جشمي,فالنْ فعلنْ فعلنْ فعلنْ,1010111011101110
78,أَبِنَظرَةِ عَينٍ عَن خَطأٍ,أبنظرة عينن عن خطئن,فعلنْ فعلنْ فالنْ فعلنْ,1110111010101110
79,عَرَضَت بِالعَمدِ يُراقُ دَمي,عرضت بلعمد يراق دمي,فعلنْ فالنْ فعلنْ فعلنْ,1110101011101110
80,يا أَيُّها المُزمِعُ ثُمَّ اِنثَنى,يا أييهلمزمع ثمم نثنى,مسْتفْعلنْ مسْتعلنْ مفْعلا,101011010111010110
81,لا يَثنِكَ الحازي وَلا الشاحِجُ,لا يثنك لحازي وششاحجو,مسْتفْعلنْ مسْتفْعلنْ مفْعلا,1010110101011010110
82,ولا قَعيدٌ أَغَضَبٌ قَرنُهُ,ولا قعيدن أغضبن قرنهو,متفْعلنْ مسْتفْعلنْ مفْعلا,110110101011010110
83,هاجَ لَهُ مِن مَرتَعٍ هائِجُ,هاج لهو من مرتعن هائجو,مسْتعلنْ مسْتفْعلنْ مفْعلا,101110101011010110
84,قَد كُنتَ يَوماً تَرتَجي رِسلَها,قد كنت يومن ترتجي رسلها,مسْتفْعلنْ مسْتفْعلنْ مفْعلا,1010110101011010110
85,فَأَطرِدَ الحائِلُ وَالدالِجُ,فأطرد لحائل وددالجو,متفْعلنْ مسْتعلنْ مفْعلا,11011010111010110
86,قُلتُ مَنِ القَومُ فَقالوا سَفَرَه,قلت من لقوم فقالو سفره,مسْتعلنْ مسْتعلنْ مسْتعلنْ,101110101110101110
87,وَالقَومُ كَعبٌ يَبتَغونَ المُنكَرَه,ولقوم كعبن يبتغون لمنكره,مسْتفْعلنْ مسْتفْعلنْ مسْتفْعلنْ,101011010101101010110
88,قُلتُ لِكَعبٍ وَالقَنا مُشتَجِرَه,قلت لكعبن ولقنا مشتجره,مسْتعلنْ مسْتفْعلنْ مسْتعلنْ,1011101010110101110
89,أَحسَنُ ما كانَ الدّقِيقُ موقِعا,أحسن ما كان ددقيق موقعا,مسْتعلنْ مسْتفْعلنْ متفْعلنْ,1011101010110110110
90,مِن رَجُلٍ أَفلَسَ حَتّى أَدقَعا,من رجلن أفلس حتتى أدقعا,مسْتعلنْ مسْتعلنْ مسْتفْعلنْ,1011101011101010110
91,إِذَا أَتى يَسعَى حَثِيثَاً مُسرِعا,إذا أتى يسعى حثيثن مسرعا,متفْعلنْ مسْتفْعلنْ مسْتفْعلنْ,11011010101101010110
92,مِن بَعدِ مَا مَسّ الغَلَاء الأَشنَعا,من بعد ما مسس لغلاء لأشنعا,مسْتفْعلنْ مسْتفْعلنْ مسْتفْعلنْ,101011010101101010110
93,صَبّحَها الدّمعُ وَمَسّاهَا الأَرَق,صببحها ددمع ومسساه لأرق,مسْتعلنْ مسْتعلنْ مسْتفْعلنْ,1011101011101010110
94,هَل بَينَ هَذينِ بَقَاءٌ لِلحَدَق,هل بين هاذين بقاءن للحدق,مسْتفْعلنْ مسْتعلنْ مسْتفْعلنْ,10101101011101010110
95,بِاسمِ إِلَه العَدلِ بَينَ النّاس,بسم إلاه لعدل بين نناسي,مسْتعلنْ مسْتفْعلنْ مسْتفْعلْ,1011101010110101010
96,أَصدَرتُ هَذا الحُكمَ بالقِسطَاسِ,أصدرت هاذلحكم بلقسطاسي,مسْتفْعلنْ مسْتفْعلنْ مسْتفْعلْ,10101101010110101010
97,في جَلسَةٍ جَهرِيّةِ بِالنّادي,في جلستن جهريتن بننادي,مسْتفْعلنْ مسْتفْعلنْ مسْتفْعلْ,10101101010110101010
98,لِلفَصلِ في تَنَافُسِ الأَندَادِ,للفصل في تنافس لأندادي,مسْتفْعلنْ متفْعلنْ مسْتفْعلْ,1010110110110101010
99,حَمد الإِلَهِ وَاجِبٌ لِذَاتِه,حمد لإلاه واجبن لذاتهي,مسْتفْعلنْ متفْعلنْ متفْعلنْ,1010110110110110110
